mode,measure_kernel,target_l1,target_l2,target_l3,target_dram,actual_l1,actual_l2,actual_l3,actual_dram,cycles,ops_per_cycle,gbps,pmu_instructions,instructions_per_op,lines_l1,lines_l2,lines_l3,lines_dram,share_l1,share_l2,share_l3,share_dram,evict_passes_l1,evict_passes_l2,evict_passes_l3,matrix_step
read,stream,0.0,0.0,0.0,1.0,0.0,0.04862078894914751,0.929368868670941,0.022010342379911424,29425.0,0.1359394115,9.0310976535,12607.0,3.15175,64,64,64,393216,0,0,0,100,1,1,1,20
read,stream,0.0,0.0,0.2,0.8,0.0,0.16835526158843803,0.8122719542152717,0.01937278419629033,30198.0,0.13246122999999999,9.144843632499999,16647.0,4.16175,64,64,65536,393216,0,0,20,80,1,1,0,20
read,stream,0.0,0.0,0.4,0.6,0.0,0.2808804143767785,0.6825581461263007,0.03656143949692089,30286.0,0.1320743385,9.003534511000002,13727.0,3.43175,64,64,65536,393216,0,0,40,60,1,1,0,20
read,stream,0.0,0.0,0.6,0.4,0.0,0.382051345174523,0.6086734511710341,0.009275203654443027,30658.5,0.13046978999999997,8.997452518500001,13727.0,3.43175,64,64,65536,393216,0,0,60,40,1,1,0,20
read,stream,0.0,0.0,0.8,0.2,0.0,0.4672591796928836,0.5255788868384906,0.007161933468625873,31965.5,0.125139263,8.7526657375,16647.0,4.16175,64,64,65536,393216,0,0,80,20,1,1,0,20
read,stream,0.0,0.0,1.0,0.0,0.0,0.6404449021588196,0.3586691176261788,0.0008859802150016518,16946.5,0.2360377045,11.7969728605,12607.0,3.15175,64,64,65536,64,0,0,100,0,1,1,0,20
read,stream,0.0,0.2,0.0,0.8,0.0,0.2521405009307259,0.7307435824489767,0.01711591662029737,30713.5,0.13024714450000002,9.048572151,16647.0,4.16175,64,2048,64,393216,0,20,0,80,1,1,1,20
read,stream,0.0,0.2,0.2,0.6,0.0,0.35250819126947497,0.6335207138678081,0.013971094862717073,30837.5,0.12974761950000002,9.0468035335,17767.0,4.44175,64,2048,65536,393216,0,20,20,60,1,1,0,20
read,stream,0.0,0.2,0.4,0.4,0.0,0.44575115105153523,0.5435866244191685,0.010662224529296284,30915.0,0.1293874385,8.7189008055,17807.0,4.45175,64,2048,65536,393216,0,20,40,40,1,1,0,20
read,stream,0.0,0.2,0.6,0.2,0.0,0.5896355074981962,0.4047356038629947,0.005628888638809049,33342.5,0.119967145,8.616910162,17767.0,4.44175,64,2048,65536,393216,0,20,60,20,1,1,0,20
read,stream,0.0,0.2,0.8,0.0,0.0,0.7061885970380637,0.2926771183991665,0.0011342845627698348,18471.0,0.216557269,11.199958107,16647.0,4.16175,64,2048,65536,64,0,20,80,0,1,1,0,20
